city,confidenceScore,district,eLoc,formattedAddress,geocodeLevel,houseName,houseNumber,latitude,locality,longitude,pincode,poi,state,street,subDistrict,subLocality,subSubLocality,village
Mumbai,0.8,Mumbai District,5EC7LB,"Zaveri Bazar, Shaikh Memon Street, Zaveri Bazar, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",poi,,,18.951512,Kalbadevi,72.830562,400002,Zaveri Bazar,Maharashtra,Shaikh Memon Street,Mumbai,Zaveri Bazar,,
Mumbai,1.0,Mumbai District,TSE514,"Mumbai Bar, Kalbadevi Road, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",pincode,,,18.945759,Kalbadevi,72.829283,400002,Mumbai Bar,Maharashtra,Kalbadevi Road,Mumbai,,,
Mumbai,0.4,Mumbai District,B79XRX,"C, Mangaldas Road, Lohar Chawl, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",houseNumber,,C,18.946318,Lohar Chawl,72.831777,400002,,Maharashtra,Mangaldas Road,Mumbai,,,
Mumbai,1.0,Mumbai District,FL8ZQE,"Marine Lines, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.94406,Marine Lines,72.823209,400002,,Maharashtra,,Mumbai,,,
Mumbai,1.0,Mumbai District,400002,"Mumbai District, Mumbai, Maharashtra, 400002",pincode,,,18.949981,,72.825748,400002,,Maharashtra,,,,,
Mumbai,0.4,Mumbai District,4UXVTD,"Gopal Baug, Shankar Bari Lane, Thakurdwar, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",landmark,Gopal Baug,,18.948579,Thakurdwar,72.823924,400002,,Maharashtra,Shankar Bari Lane,Mumbai,,,
Mumbai,1.0,Mumbai District,DCMDUN,"Dr Atmaram Merchant Road, Bhuleshwar, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.953161,Bhuleshwar,72.827744,400002,,Maharashtra,Dr Atmaram Merchant Road,Mumbai,,,
Mumbai,1.0,Mumbai District,3U7157,"Ibrahim Rehmatullah Road, Mumbadevi Area, Bhuleshwar, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.954086,Bhuleshwar,72.831735,400002,,Maharashtra,Ibrahim Rehmatullah Road,Mumbai,Mumbadevi Area,,
Mumbai,1.0,Mumbai District,ZQDYI0,"Kalbadevi Road, Joshi Wadi, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.946914,Kalbadevi,72.828841,400002,,Maharashtra,Kalbadevi Road,Mumbai,Joshi Wadi,,
Mumbai,1.0,Mumbai District,YUUC5V,"Marine Lane, Dhobi Talab, Marine Lines, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.944521,Marine Lines,72.826985,400002,,Maharashtra,Marine Lane,Mumbai,Dhobi Talab,,
Mumbai,1.0,Mumbai District,O9A8QL,"Cavel Cross Lane 7, Pungeswari, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.949132,Kalbadevi,72.826461,400002,,Maharashtra,Cavel Cross Lane 7,Mumbai,Pungeswari,,
Mumbai,0.8,Mumbai District,O4JVLC,"31/33, RS Sapre Marg, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",street,,31/33,18.945636,Kalbadevi,72.829634,400002,,Maharashtra,RS Sapre Marg,Mumbai,,,
Mumbai,0.8,Mumbai District,FA8DAS,"Adarsh Hotel, Kalbadevi Road, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",poi,,,18.950719,Kalbadevi,72.828736,400002,Adarsh Hotel,Maharashtra,Kalbadevi Road,Mumbai,,,
Mumbai,0.8,Mumbai District,4X0RT8,"Narayan Nivas, Cavel 3rd Cross Lane, Ramwadi, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",houseName,Narayan Nivas,,18.950933,Kalbadevi,72.828109,400002,,Maharashtra,Cavel 3rd Cross Lane,Mumbai,Ramwadi,,
Mumbai,1.0,Mumbai District,ITIG9N,"Jewel CHS, 1st Agyari Lane, Chippi Chawl, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.951597,Kalbadevi,72.831682,400002,Jewel CHS,Maharashtra,1st Agyari Lane,Mumbai,Chippi Chawl,,
Mumbai,0.8,Mumbai District,84FDVC,"BMC Office, Thakurdwar, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",landmark,,,18.949267,Thakurdwar,72.823891,400002,BMC Office,Maharashtra,,Mumbai,,,
Mumbai,0.4,Mumbai District,TM5ZVE,"Kazi Street, Bhendi Bazar, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",street,,,18.956936,Bhendi Bazar,72.829809,400002,,Maharashtra,Kazi Street,Mumbai,,,
Mumbai,0.8,Mumbai District,FA8DAS,"Adarsh Hotel, Kalbadevi Road, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",poi,,,18.950719,Kalbadevi,72.828736,400002,Adarsh Hotel,Maharashtra,Kalbadevi Road,Mumbai,,,
Mumbai,0.8,Mumbai District,DCUN7F,"JSS Road, Dhobi Talab, Marine Lines, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",street,,,18.943499,Marine Lines,72.82898,400002,,Maharashtra,JSS Road,Mumbai,Dhobi Talab,,
Mumbai,0.8,Mumbai District,OPDN7J,"Mangaldas Road, Lohar Chawl, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",street,,,18.946598,Lohar Chawl,72.8319,400002,,Maharashtra,Mangaldas Road,Mumbai,,,
Mumbai,0.4,Mumbai District,DCCIRE,"Bori Chawl, Shrikant Palekar Road, Chira Bazar, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",houseName,Bori Chawl,,18.947205,Chira Bazar,72.825447,400002,,Maharashtra,Shrikant Palekar Road,Mumbai,,,
Mumbai,1.0,Mumbai District,4UJ5DZ,"Lotlikar Building, Ropa Lane, Chandan Wadi, Marine Lines, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",pincode,Lotlikar Building,,18.946318,Marine Lines,72.825742,400002,,Maharashtra,Ropa Lane,Mumbai,Chandan Wadi,,
Mumbai,1.0,Mumbai District,QO05XF,"Keshari Group, Kalbadevi Road, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.947993,Kalbadevi,72.828618,400002,Keshari Group,Maharashtra,Kalbadevi Road,Mumbai,,,
Mumbai,1.0,Mumbai District,4X07YJ,"Venilals Estate, Dr Atmaram Merchant Road, Bhuleshwar, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.952576,Bhuleshwar,72.827127,400002,Venilals Estate,Maharashtra,Dr Atmaram Merchant Road,Mumbai,,,
Mumbai,1.0,Mumbai District,7TFFCL,"Anand Sagar, Shankar Bari Lane, Thakurdwar, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",pincode,,,18.948581,Thakurdwar,72.824037,400002,Anand Sagar,Maharashtra,Shankar Bari Lane,Mumbai,,,
Mumbai,1.0,Mumbai District,YORYZ5,"Bhuleshwar, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.954767,Bhuleshwar,72.829105,400002,,Maharashtra,,Mumbai,,,
Mumbai,1.0,Mumbai District,Z3YOBC,"Dhobi Talab, Marine Lines, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",subLocality,,,18.943475,Marine Lines,72.827266,400002,,Maharashtra,,Mumbai,Dhobi Talab,,
Mumbai,1.0,Mumbai District,V3O8K8,"Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.948516,Kalbadevi,72.82782,400002,,Maharashtra,,Mumbai,,,
Mumbai,0.8,Mumbai District,UNODQB,"Geeta Bhavan, Shamaldas Gandhi Road, Bhang Wadi, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",poi,,,18.946082,Kalbadevi,72.828367,400002,Geeta Bhavan,Maharashtra,Shamaldas Gandhi Road,Mumbai,Bhang Wadi,,
Mumbai,1.0,Mumbai District,6UQDCO,"Sorabji Santuk Lane, Dhobi Talab, Marine Lines, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.944375,Marine Lines,72.826608,400002,,Maharashtra,Sorabji Santuk Lane,Mumbai,Dhobi Talab,,
Mumbai,1.0,Mumbai District,DC2CEN,"Bomanji Master Lane, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.945145,Kalbadevi,72.828245,400002,,Maharashtra,Bomanji Master Lane,Mumbai,,,
Mumbai,1.0,Mumbai District,84R02W,"Moti Niwas, Bhai Jeevanji Lane, Thakurdwar, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",pincode,Moti Niwas,,18.950786,Thakurdwar,72.823042,400002,,Maharashtra,Bhai Jeevanji Lane,Mumbai,,,
Mumbai,0.8,Mumbai District,6GWKKO,"Colore, JSS Road, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",street,,,18.944756,Kalbadevi,72.82831,400002,Colore,Maharashtra,JSS Road,Mumbai,,,
Mumbai,0.6,Mumbai District,4XCO4L,"Raut Estate, Sitaram Podar Marg, Fanaswadi, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",poi,,,18.951429,Kalbadevi,72.825839,400002,Raut Estate,Maharashtra,Sitaram Podar Marg,Mumbai,Fanaswadi,,
Mumbai,1.0,Mumbai District,400002,"Mumbai District, Mumbai, Maharashtra, 400002",pincode,,,18.949981,,72.825748,400002,,Maharashtra,,,,,
Mumbai,0.4,Mumbai District,DC2CEN,"Bomanji Master Lane, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",street,,,18.945145,Kalbadevi,72.828245,400002,,Maharashtra,Bomanji Master Lane,Mumbai,,,
Mumbai,1.0,Mumbai District,EKV65J,"189, Singhania Wadi, Dadiseth Agyari Lane, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",pincode,Singhania Wadi,189,18.949156,Kalbadevi,72.825749,400002,,Maharashtra,Dadiseth Agyari Lane,Mumbai,,,
Mumbai,1.0,Mumbai District,OD5XJY,"Dr Viegas Street, Kalbadevi, Mumbai, Mumbai District, Mumbai, Maharashtra, 400002",locality,,,18.948992,Kalbadevi,72.827676,400002,,Maharashtra,Dr Viegas Street,Mumbai,,,
Mumbai,1.0,Mumbai District,VHG5CV,"Police Officers Quarters, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",locality,Police Officers Quarters,,18.944944,Fort,72.832937,400001,,Maharashtra,,Mumbai,,,
Mumbai,1.0,Mumbai District,PZQ0YT,"R A K, Syed Abdullah Brelvi Marg, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",locality,,,18.933295,Fort,72.834767,400001,R A K,Maharashtra,Syed Abdullah Brelvi Marg,Mumbai,,,
Mumbai,0.8,Mumbai District,275T84,"St George Hospital, P D'Mello Road, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",landmark,,,18.940031,Fort,72.837748,400001,St George Hospital,Maharashtra,P D'Mello Road,Mumbai,,,
Mumbai,0.8,Mumbai District,6UZRZR,"Cama Albless Hospital, Mahapalika Marg, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",street,,,18.942254000000002,Fort,72.832102,400001,Cama Albless Hospital,Maharashtra,Mahapalika Marg,Mumbai,,,
Mumbai,0.8,Mumbai District,275T84,"St George Hospital, P D'Mello Road, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",poi,,,18.940031,Fort,72.837748,400001,St George Hospital,Maharashtra,P D'Mello Road,Mumbai,,,
Mumbai,0.8,Mumbai District,EOCZH2,"MRA Marg Police Station, Mohammad Ali Road, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",landmark,,,18.946704999999998,Fort,72.835511,400001,MRA Marg Police Station,Maharashtra,Mohammad Ali Road,Mumbai,,,
Mumbai,1.0,Mumbai District,ERRCY4,"Cuffe Parade Bus Stop, Captain Prakash Pethe Marg, Colaba, Mumbai, Mumbai District, Mumbai, Maharashtra, 400005",pincode,,,18.917797,Colaba,72.824749,400005,Cuffe Parade Bus Stop,Maharashtra,Captain Prakash Pethe Marg,Mumbai,,,
Mumbai,0.8,Mumbai District,PWJIWM,"Sitaram Building, Walchand Hirachand Marg, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",houseName,Sitaram Building,,18.938442000000002,Fort,72.836217,400001,,Maharashtra,Walchand Hirachand Marg,Mumbai,,,
Mumbai,1.0,Mumbai District,DBSH3Y,"Agyari Lane, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",locality,,,18.935265,Fort,72.83556999999999,400001,,Maharashtra,Agyari Lane,Mumbai,,,
Mumbai,0.8,Mumbai District,JRN6IX,"St George Hospital Compound, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",houseName,St George Hospital Compound,,18.941323999999998,Fort,72.83799,400001,,Maharashtra,,Mumbai,,,
Mumbai,0.8,Mumbai District,JRN6IX,"St George Hospital Compound, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",houseName,St George Hospital Compound,,18.941323999999998,Fort,72.83799,400001,,Maharashtra,,Mumbai,,,
Mumbai,1.0,Mumbai District,8U946W,"St George Fort, P D'Mello Road, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",locality,,,18.941224,Fort,72.838464,400001,St George Fort,Maharashtra,P D'Mello Road,Mumbai,,,
Mumbai,0.8,Mumbai District,2CXL5W,"161 Bora Bazar, Bora Bazar Street, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",landmark,,,18.935833,Fort,72.8354,400001,161 Bora Bazar,Maharashtra,Bora Bazar Street,Mumbai,,,
Mumbai,1.0,Mumbai District,DBSH3Y,"Agyari Lane, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",locality,,,18.935265,Fort,72.83556999999999,400001,,Maharashtra,Agyari Lane,Mumbai,,,
Mumbai,0.8,Mumbai District,BZHN9Z,"St Paul Catholic Association, SBS Road, Kala Ghoda, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400023",poi,,,18.929022,Fort,72.83434799999999,400023,St Paul Catholic Association,Maharashtra,SBS Road,Mumbai,Kala Ghoda,,
Mumbai,0.8,Mumbai District,UP566A,"35, Dalal Street, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",houseNumber,,35.0,18.92923,Fort,72.832727,400001,,Maharashtra,Dalal Street,Mumbai,,,
Mumbai,0.8,Mumbai District,Z8FAXN,"142 Kapadia Mansion, Modi Street, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",street,142 Kapadia Mansion,,18.935601000000002,Fort,72.836322,400001,,Maharashtra,Modi Street,Mumbai,,,
Mumbai,0.8,Mumbai District,PZT8QD,"ICICI ATM, Perin Nariman Street, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",poi,,,18.933409,Fort,72.835739,400001,ICICI ATM,Maharashtra,Perin Nariman Street,Mumbai,,,
Mumbai,0.8,Mumbai District,EFLPW8,"Modi Street, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",street,,,18.935132,Fort,72.83636,400001,,Maharashtra,Modi Street,Mumbai,,,
Mumbai,1.0,Mumbai District,EKJN2S,"Old Quarters, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",locality,Old Quarters,,18.944279,Fort,72.83145999999999,400001,,Maharashtra,,Mumbai,,,
Mumbai,1.0,Mumbai District,FJQBZZ,"113, Perin Nariman Street, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",houseNumber,,113.0,18.936673000000003,Fort,72.835903,400001,,Maharashtra,Perin Nariman Street,Mumbai,,,
Mumbai,0.8,Mumbai District,JTUEZE,"2, BMC Building, Sabu Siddiquie Path, Fort, Mumbai, Mumbai District, Mumbai, Maharashtra, 400001",houseNumber,BMC Building,2.0,18.947633,Fort,72.837236,400001,,Maharashtra,Sabu Siddiquie Path,Mumbai,,,
