Containment_zones,ward,no,pin,address
"A 1 400001 M.R.A. Police Quarters,M.R.A. Road,,Fort",A,1,400001,"M.R.A. Police Quarters,M.R.A. Road,,Fort"
"A 2 400001 M.R.A. Bmc Colony,M.R.A. Road,,Fort",A,2,400001,"M.R.A. Bmc Colony,M.R.A. Road,,Fort"
"A 3 400001 Ramgad Vasahat Zopadpatti,P D'Mello Road,Near St George Hospital,Fort",A,3,400001,"Ramgad Vasahat Zopadpatti,P D'Mello Road,Near St George Hospital,Fort"
"A 4 400001 Servant Quarters, Cama Hospital,Mahapalika Marg,,Fort",A,4,400001,"Servant Quarters, Cama Hospital,Mahapalika Marg,,Fort"
"A 5 400005 Sunder Nagari,Azad Nagari, Darya Nagar,Lala Nigam Road, Near Colaba Market,Sunder Nagar,Colaba",A,5,400005,"Sunder Nagari,Azad Nagari, Darya Nagar,Lala Nigam Road, Near Colaba Market,Sunder Nagar,Colaba"
"A 6 400005 Machchimar Nagar,Capt. Prakash Pethe Marg,,Colaba",A,6,400005,"Machchimar Nagar,Capt. Prakash Pethe Marg,,Colaba"
"A 7 400005 Ganeshmurti Nagar Part No.1,2,3,Captain Prakash Pethe Marg,Ganeshmurthi Nagar,Colaba",A,7,400005,"Ganeshmurti Nagar Part No.1,2,3,Captain Prakash Pethe Marg,Ganeshmurthi Nagar,Colaba"
"A 8 400005 Shivshakti Nagar, Garib Janata Nagar, Mahatma Phule Nagar,Capt. Prakash Pethe Marg,,Colaba",A,8,400005,"Shivshakti Nagar, Garib Janata Nagar, Mahatma Phule Nagar,Capt. Prakash Pethe Marg,,Colaba"
"A 9 400005 Ambedkar Nagar,Capt. Prakash Pethe Marg,,Colaba",A,9,400005,"Ambedkar Nagar,Capt. Prakash Pethe Marg,,Colaba"
"A 10 400005 Geeta Nagar,Dr Homi Bhabha Road,Near Navy Nagar,Colaba",A,10,400005,"Geeta Nagar,Dr Homi Bhabha Road,Near Navy Nagar,Colaba"
"A 11 400005 Meherzin Building,Sbs Road,,Colaba",A,11,400005,"Meherzin Building,Sbs Road,,Colaba"
"A 12 400005 A-Kantak House,Nouroji Road, First Koli Lane,Colaba Market,Colaba",A,12,400005,"A-Kantak House,Nouroji Road, First Koli Lane,Colaba Market,Colaba"
"B 13 400003 Cement Chawl No. 1,Madhavrao Rokade Road,Masjid Bunder Railway Station,Mandvi",B,13,400003,"Cement Chawl No. 1,Madhavrao Rokade Road,Masjid Bunder Railway Station,Mandvi"
"B 14 400003 Cement Chawl No. 2,Madhavrao Rokade Marg,Chinchbunder,Mandvi",B,14,400003,"Cement Chawl No. 2,Madhavrao Rokade Marg,Chinchbunder,Mandvi"
"B 15 400003 Hutment,Baroda Street,Opp. Gokul Building,Masjid Bunder",B,15,400003,"Hutment,Baroda Street,Opp. Gokul Building,Masjid Bunder"
"B 16 400003 Patra Chawl,Tambaku Galli,Near Mbpt Quarters,Masjid Bunder",B,16,400003,"Patra Chawl,Tambaku Galli,Near Mbpt Quarters,Masjid Bunder"
"B 17 400003 Zopada No. 64,Janjikar Street,Opp. Mohd House,Mandvi Koliwada",B,17,400003,"Zopada No. 64,Janjikar Street,Opp. Mohd House,Mandvi Koliwada"
"B 18 400003 Hutment,Poona Street,Near Dosi Chamber,Masjid Bunder",B,18,400003,"Hutment,Poona Street,Near Dosi Chamber,Masjid Bunder"
"B 19 400009 Chinchbunder Bit Chawl No. 3,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri",B,19,400009,"Chinchbunder Bit Chawl No. 3,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri"
"B 20 400009 Hutment,Kurla Street,Danabunder,Masjid Bunder",B,20,400009,"Hutment,Kurla Street,Danabunder,Masjid Bunder"
"B 21 400009 Chinchbunder Bit Chawl No. 4,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri",B,21,400009,"Chinchbunder Bit Chawl No. 4,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri"
"B 22 400009 Haji Kasam Chawl,Noorbaug,Umerkhadi,Dongri",B,22,400009,"Haji Kasam Chawl,Noorbaug,Umerkhadi,Dongri"
"B 23 400009 Moti Chawl,Mohammed Ali Road,,Masjid",B,23,400009,"Moti Chawl,Mohammed Ali Road,,Masjid"
"B 24 400009 Chinchbunder Bit Chawl No. 6,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri",B,24,400009,"Chinchbunder Bit Chawl No. 6,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri"
"B 25 400009 Hutment,Sardar Vallabhbhai Patel Road,Sandhurst Road,Wadibunder",B,25,400009,"Hutment,Sardar Vallabhbhai Patel Road,Sandhurst Road,Wadibunder"
"B 26 400009 Sydenham Bit Chawl No. 1,Ebrahim Rahimtula Road,Behind Hp Petrol Pump,Dongri",B,26,400009,"Sydenham Bit Chawl No. 1,Ebrahim Rahimtula Road,Behind Hp Petrol Pump,Dongri"
"B 27 400009 Lalji Sajan Chawl,Laxman Narayan Jadhav Marg,Opp. Asha Sadan,Dongri",B,27,400009,"Lalji Sajan Chawl,Laxman Narayan Jadhav Marg,Opp. Asha Sadan,Dongri"
"B 28 400009 Kashibai Chawl,Dr. Meisheri Road,Near Dongri Police Station,Dongri",B,28,400009,"Kashibai Chawl,Dr. Meisheri Road,Near Dongri Police Station,Dongri"
"B 29 400009 Bmc Chawl,Mavji Rathod Road,Walpakhadi,Dongri",B,29,400009,"Bmc Chawl,Mavji Rathod Road,Walpakhadi,Dongri"
"C 30 400002 (3 Chawls In Zaveri Bazar Area),,,Zaveri Bazar",C,30,400002,"(3 Chawls In Zaveri Bazar Area),,,Zaveri Bazar"
