S.No.,Post office,Office type,Pincode
1,A I Staff Colony,S.O,400029
2,Aareymilk Colony,S.O,400065
3,Agripada,S.O,400011
4,Airport,S.O,400099
5,Ambewadi,S.O,400004
6,Andheri East,S.O,400069
7,Andheri,H.O,400053
8,Andheri Railway Station,S.O,400058
9,Antop Hill,S.O,400037
10,Anushakti Nagar,S.O,400094
11,Asvini,S.O,400005
12,Audit Bhavan,S.O,400051
13,Azad Nagar,S.O,400053
14,B P T Colony,S.O,400037
15,B.N. Bhavan,S.O,400051
16,B.P.Lane,S.O,400003
17,Bandra West,S.O,400050
18,Bandra(East),S.O,400051
19,Bangur Nagar,S.O,400104
20,BARC,S.O,400085
21,Barve Nagar,S.O,400084
22,Bazargate,S.O,400001
23,Best Staff Colony,S.O,400075
24,BEST STaff Quarters,S.O,400012
25,Bhandup Complex,S.O,400082
26,Bhandup East,S.O,400042
27,Bhandup Ind. Estate,S.O,400078
28,Bhandup West,S.O,400078
29,Bharat Nagar,S.O,400007
30,Bhawani Shankar Rd,S.O,400028
31,Bhawani Shankar,S.O,400028
32,Borivali East,S.O,400066
33,Borivali,H.O,400091
34,Borivali West,S.O,400092
35,BPC Jacob Circle,S.O,400011
36,C G S Colony,S.O,400037
37,Central Building,S.O,400020
38,Century Mill,S.O,400030
39,Chakala Midc,S.O,400093
40,Chamarbaug,S.O,400012
41,Charkop,S.O,400067
42,Charni Road,S.O,400004
43,Chaupati,S.O,400004
44,Chembur Extension,S.O,400074
45,Chembur,H.O,400071
46,Chembur Rs,S.O,400089
47,Chinchbunder,H.O,400009
48,Chinchpokli,S.O,400011
49,Chunabhatti,S.O,400022
50,Churchgate,S.O,400020
51,Colaba Bazar,S.O,400005
52,Colaba,S.O,400005
53,Cotton Exchange,S.O,400033
54,Cumballa Hill,S.O,400026
55,Cumballa Sea Face,S.O,400026
56,D.M. Colony,S.O,400043
57,Dadar Colony,S.O,400014
58,Dadar,H.O,400014
59,Dahisar RS,S.O,400068
60,Dahisar,S.O,400068
61,Danda,S.O,400052
62,Daulat Nagar,S.O,400066
63,Delisle Road,S.O,400013
64,Dharavi Road,S.O,400017
65,Dharavi,S.O,400017
66,Dockyard Road,S.O,400010
67,Dr Deshmukh Marg,S.O,400026
68,Falkland Road,S.O,400008
69,FCI,S.O,400074
70,Ghatkopar West,S.O,400086
71,Girgaon,S.O,400004
72,Gokhale Road,S.O,400028
73,Goregaon East,S.O,400063
74,Goregaon RS,S.O,400104
75,Goregaon,S.O,400104
76,Govandi,S.O,400088
77,Government Colony,S.O,400051
78,Gowalia Tank,S.O,400026
79,Grant Road,S.O,400007
80,H.M.P. School,S.O,400058
81,Haffkin Institute,S.O,400012
82,Haines Road,S.O,400011
83,Haji Ali,S.O,400034
84,Hanuman Road,S.O,400057
85,High Court Building,S.O,400032
86,Holiday Camp,S.O,400005
87,Ins Hamla,S.O,400095
88,International Airport,S.O,400099
89,IRLA,S.O,400056
90,J.B. Nagar,S.O,400059
91,J.J.Hospital,S.O,400008
92,J.M. Road,S.O,400078
93,Jacob Circle,S.O,400011
94,Jogeshwari East,S.O,400060
95,Jogeshwari West,S.O,400102
96,Juhu,S.O,400049
97,Kalachowki,S.O,400033
98,Kalbadevi,H.O,400002
99,Kamathipura,S.O,400008
100,Kandivali East,S.O,400101
101,Kandivali RS,S.O,400067
102,Kandivali West,S.O,400067
103,Kannamwar Nagar,S.O,400083
104,Kapad Bazar,S.O,400016
105,Ketkipada,B.O,400068
106,Khar Colony,S.O,400052
107,Khar Delivery,S.O,400052
108,Kharodi,S.O,400095
109,Kherwadi,S.O,400051
110,Kidwai Nagar,S.O,400031
111,Kurla North,S.O,400070
112,Kurla,S.O,400070
113,L B S N E collage,S.O,400033
114,Lal Baug,S.O,400012
115,Liberty Garden,S.O,400064
116,M A Marg,S.O,400008
117,M.P.T.,S.O,400001
118,Madh,B.O,400061
119,Madhavbaug,S.O,400004
120,Magthane,B.O,400066
121,Mahim Bazar,S.O,400016
122,Mahim East,S.O,400016
123,Mahim,H.O,400016
124,Mahul Road,S.O,400074
125,Malabar Hill,S.O,400006
126,Malad East,S.O,400097
127,Malad,S.O,400064
128,Malad West Dely,S.O,400064
129,Mandapeshwar,S.O,400103
130,Mandvi,S.O,400003
131,Mantralaya,S.O,400032
132,Marine Lines,S.O,400020
133,Marol Bazar,S.O,400059
134,Marol Naka,S.O,400059
135,Masjid,S.O,400003
136,Matunga,S.O,400019
137,Mazgaon Dock,S.O,400010
138,Mazgaon Road,S.O,400010
139,Mazgaon,S.O,400010
140,Mhada Colony,S.O,400081
141,Mori Road,S.O,400016
142,Motilal Nagar,S.O,400104
143,Mulund Colony,S.O,400082
144,Mulund Dd Road,S.O,400080
145,Mulund East,S.O,400081
146,Mulund West,S.O,400080
147,Mumbai Central,H.O,400008
148,Mumbai G.P.O.,H.O,400001
149,N.S.Patkar Marg,S.O,400007
150,Nagardas Road,S.O,400069
151,Nagari Niwara,S.O,400065
152,Nahur,S.O,400080
153,Naigaon,S.O,400014
154,Nariman Point,S.O,400021
155,Nehru Nagar,S.O,400024
156,Nehru Road,S.O,400080
157,Netajinagar,S.O,400070
158,New Prabhadevi Road,S.O,400025
159,New Yogakshema,S.O,400021
160,NITIE,S.O,400087
161,Noor Baug,S.O,400009
162,Null Bazar,S.O,400003
163,Opera House,S.O,400004
164,Orlem,S.O,400064
165,Oshiwara,S.O,400102
166,P.H. Colony,S.O,400078
167,Pant Nagar,S.O,400075
168,Parel Naka,S.O,400012
169,Parel Rly Work Shop,S.O,400012
170,Parel,S.O,400012
171,Powai Iit,S.O,400076
172,Prabhadevi,S.O,400025
173,Princess Dock,S.O,400009
174,Psm Colony,S.O,400079
175,R.A.Nagar,S.O,400075
176,Rajawadi,S.O,400077
177,Rajbhavan,S.O,400035
178,Rajendra Nagar,S.O,400066
179,Ramwadi,S.O,400002
180,Ranade Road,S.O,400028
181,Rani Sati Marg,S.O,400097
182,Raoli Camp,S.O,400022
183,Reay Road,S.O,400033
184,Rifle Range,S.O,400086
185,S R P F Camp,S.O,400065
186,S V Marg,S.O,400007
